caption_pos,caption_neg,relation,shape1,color1,shape2,color2,image
To the left of the blue cylinder is the blue cube,To the left of the blue cube is the blue cylinder,left,cube,blue,cylinder,blue,000000.png
To the left of the brown cylinder is the blue cube,To the left of the blue cube is the brown cylinder,left,cube,blue,cylinder,brown,000001.png
To the left of the cyan cylinder is the blue cube,To the left of the blue cube is the cyan cylinder,left,cube,blue,cylinder,cyan,000002.png
To the left of the gray cylinder is the blue cube,To the left of the blue cube is the gray cylinder,left,cube,blue,cylinder,gray,000003.png
To the left of the green cylinder is the blue cube,To the left of the blue cube is the green cylinder,left,cube,blue,cylinder,green,000004.png
To the left of the purple cylinder is the blue cube,To the left of the blue cube is the purple cylinder,left,cube,blue,cylinder,purple,000005.png
To the left of the red cylinder is the blue cube,To the left of the blue cube is the red cylinder,left,cube,blue,cylinder,red,000006.png
To the left of the yellow cylinder is the blue cube,To the left of the blue cube is the yellow cylinder,left,cube,blue,cylinder,yellow,000007.png
To the left of the blue cylinder is the brown cube,To the left of the brown cube is the blue cylinder,left,cube,brown,cylinder,blue,000008.png
To the left of the brown cylinder is the brown cube,To the left of the brown cube is the brown cylinder,left,cube,brown,cylinder,brown,000009.png
To the left of the cyan cylinder is the brown cube,To the left of the brown cube is the cyan cylinder,left,cube,brown,cylinder,cyan,000010.png
To the left of the gray cylinder is the brown cube,To the left of the brown cube is the gray cylinder,left,cube,brown,cylinder,gray,000011.png
To the left of the green cylinder is the brown cube,To the left of the brown cube is the green cylinder,left,cube,brown,cylinder,green,000012.png
To the left of the purple cylinder is the brown cube,To the left of the brown cube is the purple cylinder,left,cube,brown,cylinder,purple,000013.png
To the left of the red cylinder is the brown cube,To the left of the brown cube is the red cylinder,left,cube,brown,cylinder,red,000014.png
To the left of the yellow cylinder is the brown cube,To the left of the brown cube is the yellow cylinder,left,cube,brown,cylinder,yellow,000015.png
To the left of the blue cylinder is the cyan cube,To the left of the cyan cube is the blue cylinder,left,cube,cyan,cylinder,blue,000016.png
To the left of the brown cylinder is the cyan cube,To the left of the cyan cube is the brown cylinder,left,cube,cyan,cylinder,brown,000017.png
To the left of the cyan cylinder is the cyan cube,To the left of the cyan cube is the cyan cylinder,left,cube,cyan,cylinder,cyan,000018.png
To the left of the gray cylinder is the cyan cube,To the left of the cyan cube is the gray cylinder,left,cube,cyan,cylinder,gray,000019.png
To the left of the green cylinder is the cyan cube,To the left of the cyan cube is the green cylinder,left,cube,cyan,cylinder,green,000020.png
To the left of the purple cylinder is the cyan cube,To the left of the cyan cube is the purple cylinder,left,cube,cyan,cylinder,purple,000021.png
To the left of the red cylinder is the cyan cube,To the left of the cyan cube is the red cylinder,left,cube,cyan,cylinder,red,000022.png
To the left of the yellow cylinder is the cyan cube,To the left of the cyan cube is the yellow cylinder,left,cube,cyan,cylinder,yellow,000023.png
To the left of the blue cylinder is the gray cube,To the left of the gray cube is the blue cylinder,left,cube,gray,cylinder,blue,000024.png
To the left of the brown cylinder is the gray cube,To the left of the gray cube is the brown cylinder,left,cube,gray,cylinder,brown,000025.png
To the left of the cyan cylinder is the gray cube,To the left of the gray cube is the cyan cylinder,left,cube,gray,cylinder,cyan,000026.png
To the left of the gray cylinder is the gray cube,To the left of the gray cube is the gray cylinder,left,cube,gray,cylinder,gray,000027.png
To the left of the green cylinder is the gray cube,To the left of the gray cube is the green cylinder,left,cube,gray,cylinder,green,000028.png
To the left of the purple cylinder is the gray cube,To the left of the gray cube is the purple cylinder,left,cube,gray,cylinder,purple,000029.png
To the left of the red cylinder is the gray cube,To the left of the gray cube is the red cylinder,left,cube,gray,cylinder,red,000030.png
To the left of the yellow cylinder is the gray cube,To the left of the gray cube is the yellow cylinder,left,cube,gray,cylinder,yellow,000031.png
To the left of the blue cylinder is the green cube,To the left of the green cube is the blue cylinder,left,cube,green,cylinder,blue,000032.png
To the left of the brown cylinder is the green cube,To the left of the green cube is the brown cylinder,left,cube,green,cylinder,brown,000033.png
To the left of the cyan cylinder is the green cube,To the left of the green cube is the cyan cylinder,left,cube,green,cylinder,cyan,000034.png
To the left of the gray cylinder is the green cube,To the left of the green cube is the gray cylinder,left,cube,green,cylinder,gray,000035.png
To the left of the green cylinder is the green cube,To the left of the green cube is the green cylinder,left,cube,green,cylinder,green,000036.png
To the left of the purple cylinder is the green cube,To the left of the green cube is the purple cylinder,left,cube,green,cylinder,purple,000037.png
To the left of the red cylinder is the green cube,To the left of the green cube is the red cylinder,left,cube,green,cylinder,red,000038.png
To the left of the yellow cylinder is the green cube,To the left of the green cube is the yellow cylinder,left,cube,green,cylinder,yellow,000039.png
To the left of the blue cylinder is the purple cube,To the left of the purple cube is the blue cylinder,left,cube,purple,cylinder,blue,000040.png
To the left of the brown cylinder is the purple cube,To the left of the purple cube is the brown cylinder,left,cube,purple,cylinder,brown,000041.png
To the left of the cyan cylinder is the purple cube,To the left of the purple cube is the cyan cylinder,left,cube,purple,cylinder,cyan,000042.png
To the left of the gray cylinder is the purple cube,To the left of the purple cube is the gray cylinder,left,cube,purple,cylinder,gray,000043.png
To the left of the green cylinder is the purple cube,To the left of the purple cube is the green cylinder,left,cube,purple,cylinder,green,000044.png
To the left of the purple cylinder is the purple cube,To the left of the purple cube is the purple cylinder,left,cube,purple,cylinder,purple,000045.png
To the left of the red cylinder is the purple cube,To the left of the purple cube is the red cylinder,left,cube,purple,cylinder,red,000046.png
To the left of the yellow cylinder is the purple cube,To the left of the purple cube is the yellow cylinder,left,cube,purple,cylinder,yellow,000047.png
To the left of the blue cylinder is the red cube,To the left of the red cube is the blue cylinder,left,cube,red,cylinder,blue,000048.png
To the left of the brown cylinder is the red cube,To the left of the red cube is the brown cylinder,left,cube,red,cylinder,brown,000049.png
To the left of the cyan cylinder is the red cube,To the left of the red cube is the cyan cylinder,left,cube,red,cylinder,cyan,000050.png
To the left of the gray cylinder is the red cube,To the left of the red cube is the gray cylinder,left,cube,red,cylinder,gray,000051.png
To the left of the green cylinder is the red cube,To the left of the red cube is the green cylinder,left,cube,red,cylinder,green,000052.png
To the left of the purple cylinder is the red cube,To the left of the red cube is the purple cylinder,left,cube,red,cylinder,purple,000053.png
To the left of the red cylinder is the red cube,To the left of the red cube is the red cylinder,left,cube,red,cylinder,red,000054.png
To the left of the yellow cylinder is the red cube,To the left of the red cube is the yellow cylinder,left,cube,red,cylinder,yellow,000055.png
To the left of the blue cylinder is the yellow cube,To the left of the yellow cube is the blue cylinder,left,cube,yellow,cylinder,blue,000056.png
To the left of the brown cylinder is the yellow cube,To the left of the yellow cube is the brown cylinder,left,cube,yellow,cylinder,brown,000057.png
To the left of the cyan cylinder is the yellow cube,To the left of the yellow cube is the cyan cylinder,left,cube,yellow,cylinder,cyan,000058.png
To the left of the gray cylinder is the yellow cube,To the left of the yellow cube is the gray cylinder,left,cube,yellow,cylinder,gray,000059.png
To the left of the green cylinder is the yellow cube,To the left of the yellow cube is the green cylinder,left,cube,yellow,cylinder,green,000060.png
To the left of the purple cylinder is the yellow cube,To the left of the yellow cube is the purple cylinder,left,cube,yellow,cylinder,purple,000061.png
To the left of the red cylinder is the yellow cube,To the left of the yellow cube is the red cylinder,left,cube,yellow,cylinder,red,000062.png
To the left of the yellow cylinder is the yellow cube,To the left of the yellow cube is the yellow cylinder,left,cube,yellow,cylinder,yellow,000063.png
To the left of the blue sphere is the blue cube,To the left of the blue cube is the blue sphere,left,cube,blue,sphere,blue,000064.png
To the left of the brown sphere is the blue cube,To the left of the blue cube is the brown sphere,left,cube,blue,sphere,brown,000065.png
To the left of the cyan sphere is the blue cube,To the left of the blue cube is the cyan sphere,left,cube,blue,sphere,cyan,000066.png
To the left of the gray sphere is the blue cube,To the left of the blue cube is the gray sphere,left,cube,blue,sphere,gray,000067.png
To the left of the green sphere is the blue cube,To the left of the blue cube is the green sphere,left,cube,blue,sphere,green,000068.png
To the left of the purple sphere is the blue cube,To the left of the blue cube is the purple sphere,left,cube,blue,sphere,purple,000069.png
To the left of the red sphere is the blue cube,To the left of the blue cube is the red sphere,left,cube,blue,sphere,red,000070.png
To the left of the yellow sphere is the blue cube,To the left of the blue cube is the yellow sphere,left,cube,blue,sphere,yellow,000071.png
To the left of the blue sphere is the brown cube,To the left of the brown cube is the blue sphere,left,cube,brown,sphere,blue,000072.png
To the left of the brown sphere is the brown cube,To the left of the brown cube is the brown sphere,left,cube,brown,sphere,brown,000073.png
To the left of the cyan sphere is the brown cube,To the left of the brown cube is the cyan sphere,left,cube,brown,sphere,cyan,000074.png
To the left of the gray sphere is the brown cube,To the left of the brown cube is the gray sphere,left,cube,brown,sphere,gray,000075.png
To the left of the green sphere is the brown cube,To the left of the brown cube is the green sphere,left,cube,brown,sphere,green,000076.png
To the left of the purple sphere is the brown cube,To the left of the brown cube is the purple sphere,left,cube,brown,sphere,purple,000077.png
To the left of the red sphere is the brown cube,To the left of the brown cube is the red sphere,left,cube,brown,sphere,red,000078.png
To the left of the yellow sphere is the brown cube,To the left of the brown cube is the yellow sphere,left,cube,brown,sphere,yellow,000079.png
To the left of the blue sphere is the cyan cube,To the left of the cyan cube is the blue sphere,left,cube,cyan,sphere,blue,000080.png
To the left of the brown sphere is the cyan cube,To the left of the cyan cube is the brown sphere,left,cube,cyan,sphere,brown,000081.png
To the left of the cyan sphere is the cyan cube,To the left of the cyan cube is the cyan sphere,left,cube,cyan,sphere,cyan,000082.png
To the left of the gray sphere is the cyan cube,To the left of the cyan cube is the gray sphere,left,cube,cyan,sphere,gray,000083.png
To the left of the green sphere is the cyan cube,To the left of the cyan cube is the green sphere,left,cube,cyan,sphere,green,000084.png
To the left of the purple sphere is the cyan cube,To the left of the cyan cube is the purple sphere,left,cube,cyan,sphere,purple,000085.png
To the left of the red sphere is the cyan cube,To the left of the cyan cube is the red sphere,left,cube,cyan,sphere,red,000086.png
To the left of the yellow sphere is the cyan cube,To the left of the cyan cube is the yellow sphere,left,cube,cyan,sphere,yellow,000087.png
To the left of the blue sphere is the gray cube,To the left of the gray cube is the blue sphere,left,cube,gray,sphere,blue,000088.png
To the left of the brown sphere is the gray cube,To the left of the gray cube is the brown sphere,left,cube,gray,sphere,brown,000089.png
To the left of the cyan sphere is the gray cube,To the left of the gray cube is the cyan sphere,left,cube,gray,sphere,cyan,000090.png
To the left of the gray sphere is the gray cube,To the left of the gray cube is the gray sphere,left,cube,gray,sphere,gray,000091.png
To the left of the green sphere is the gray cube,To the left of the gray cube is the green sphere,left,cube,gray,sphere,green,000092.png
To the left of the purple sphere is the gray cube,To the left of the gray cube is the purple sphere,left,cube,gray,sphere,purple,000093.png
To the left of the red sphere is the gray cube,To the left of the gray cube is the red sphere,left,cube,gray,sphere,red,000094.png
To the left of the yellow sphere is the gray cube,To the left of the gray cube is the yellow sphere,left,cube,gray,sphere,yellow,000095.png
To the left of the blue sphere is the green cube,To the left of the green cube is the blue sphere,left,cube,green,sphere,blue,000096.png
To the left of the brown sphere is the green cube,To the left of the green cube is the brown sphere,left,cube,green,sphere,brown,000097.png
To the left of the cyan sphere is the green cube,To the left of the green cube is the cyan sphere,left,cube,green,sphere,cyan,000098.png
To the left of the gray sphere is the green cube,To the left of the green cube is the gray sphere,left,cube,green,sphere,gray,000099.png
To the left of the green sphere is the green cube,To the left of the green cube is the green sphere,left,cube,green,sphere,green,000100.png
To the left of the purple sphere is the green cube,To the left of the green cube is the purple sphere,left,cube,green,sphere,purple,000101.png
To the left of the red sphere is the green cube,To the left of the green cube is the red sphere,left,cube,green,sphere,red,000102.png
To the left of the yellow sphere is the green cube,To the left of the green cube is the yellow sphere,left,cube,green,sphere,yellow,000103.png
To the left of the blue sphere is the purple cube,To the left of the purple cube is the blue sphere,left,cube,purple,sphere,blue,000104.png
To the left of the brown sphere is the purple cube,To the left of the purple cube is the brown sphere,left,cube,purple,sphere,brown,000105.png
To the left of the cyan sphere is the purple cube,To the left of the purple cube is the cyan sphere,left,cube,purple,sphere,cyan,000106.png
To the left of the gray sphere is the purple cube,To the left of the purple cube is the gray sphere,left,cube,purple,sphere,gray,000107.png
To the left of the green sphere is the purple cube,To the left of the purple cube is the green sphere,left,cube,purple,sphere,green,000108.png
To the left of the purple sphere is the purple cube,To the left of the purple cube is the purple sphere,left,cube,purple,sphere,purple,000109.png
To the left of the red sphere is the purple cube,To the left of the purple cube is the red sphere,left,cube,purple,sphere,red,000110.png
To the left of the yellow sphere is the purple cube,To the left of the purple cube is the yellow sphere,left,cube,purple,sphere,yellow,000111.png
To the left of the blue sphere is the red cube,To the left of the red cube is the blue sphere,left,cube,red,sphere,blue,000112.png
To the left of the brown sphere is the red cube,To the left of the red cube is the brown sphere,left,cube,red,sphere,brown,000113.png
To the left of the cyan sphere is the red cube,To the left of the red cube is the cyan sphere,left,cube,red,sphere,cyan,000114.png
To the left of the gray sphere is the red cube,To the left of the red cube is the gray sphere,left,cube,red,sphere,gray,000115.png
To the left of the green sphere is the red cube,To the left of the red cube is the green sphere,left,cube,red,sphere,green,000116.png
To the left of the purple sphere is the red cube,To the left of the red cube is the purple sphere,left,cube,red,sphere,purple,000117.png
To the left of the red sphere is the red cube,To the left of the red cube is the red sphere,left,cube,red,sphere,red,000118.png
To the left of the yellow sphere is the red cube,To the left of the red cube is the yellow sphere,left,cube,red,sphere,yellow,000119.png
To the left of the blue sphere is the yellow cube,To the left of the yellow cube is the blue sphere,left,cube,yellow,sphere,blue,000120.png
To the left of the brown sphere is the yellow cube,To the left of the yellow cube is the brown sphere,left,cube,yellow,sphere,brown,000121.png
To the left of the cyan sphere is the yellow cube,To the left of the yellow cube is the cyan sphere,left,cube,yellow,sphere,cyan,000122.png
To the left of the gray sphere is the yellow cube,To the left of the yellow cube is the gray sphere,left,cube,yellow,sphere,gray,000123.png
To the left of the green sphere is the yellow cube,To the left of the yellow cube is the green sphere,left,cube,yellow,sphere,green,000124.png
To the left of the purple sphere is the yellow cube,To the left of the yellow cube is the purple sphere,left,cube,yellow,sphere,purple,000125.png
To the left of the red sphere is the yellow cube,To the left of the yellow cube is the red sphere,left,cube,yellow,sphere,red,000126.png
To the left of the yellow sphere is the yellow cube,To the left of the yellow cube is the yellow sphere,left,cube,yellow,sphere,yellow,000127.png
To the left of the blue cone is the blue cube,To the left of the blue cube is the blue cone,left,cube,blue,cone,blue,000128.png
To the left of the brown cone is the blue cube,To the left of the blue cube is the brown cone,left,cube,blue,cone,brown,000129.png
To the left of the cyan cone is the blue cube,To the left of the blue cube is the cyan cone,left,cube,blue,cone,cyan,000130.png
To the left of the gray cone is the blue cube,To the left of the blue cube is the gray cone,left,cube,blue,cone,gray,000131.png
To the left of the green cone is the blue cube,To the left of the blue cube is the green cone,left,cube,blue,cone,green,000132.png
To the left of the purple cone is the blue cube,To the left of the blue cube is the purple cone,left,cube,blue,cone,purple,000133.png
To the left of the red cone is the blue cube,To the left of the blue cube is the red cone,left,cube,blue,cone,red,000134.png
To the left of the yellow cone is the blue cube,To the left of the blue cube is the yellow cone,left,cube,blue,cone,yellow,000135.png
To the left of the blue cone is the brown cube,To the left of the brown cube is the blue cone,left,cube,brown,cone,blue,000136.png
To the left of the brown cone is the brown cube,To the left of the brown cube is the brown cone,left,cube,brown,cone,brown,000137.png
To the left of the cyan cone is the brown cube,To the left of the brown cube is the cyan cone,left,cube,brown,cone,cyan,000138.png
To the left of the gray cone is the brown cube,To the left of the brown cube is the gray cone,left,cube,brown,cone,gray,000139.png
To the left of the green cone is the brown cube,To the left of the brown cube is the green cone,left,cube,brown,cone,green,000140.png
To the left of the purple cone is the brown cube,To the left of the brown cube is the purple cone,left,cube,brown,cone,purple,000141.png
To the left of the red cone is the brown cube,To the left of the brown cube is the red cone,left,cube,brown,cone,red,000142.png
To the left of the yellow cone is the brown cube,To the left of the brown cube is the yellow cone,left,cube,brown,cone,yellow,000143.png
To the left of the blue cone is the cyan cube,To the left of the cyan cube is the blue cone,left,cube,cyan,cone,blue,000144.png
To the left of the brown cone is the cyan cube,To the left of the cyan cube is the brown cone,left,cube,cyan,cone,brown,000145.png
To the left of the cyan cone is the cyan cube,To the left of the cyan cube is the cyan cone,left,cube,cyan,cone,cyan,000146.png
To the left of the gray cone is the cyan cube,To the left of the cyan cube is the gray cone,left,cube,cyan,cone,gray,000147.png
To the left of the green cone is the cyan cube,To the left of the cyan cube is the green cone,left,cube,cyan,cone,green,000148.png
To the left of the purple cone is the cyan cube,To the left of the cyan cube is the purple cone,left,cube,cyan,cone,purple,000149.png
To the left of the red cone is the cyan cube,To the left of the cyan cube is the red cone,left,cube,cyan,cone,red,000150.png
To the left of the yellow cone is the cyan cube,To the left of the cyan cube is the yellow cone,left,cube,cyan,cone,yellow,000151.png
To the left of the blue cone is the gray cube,To the left of the gray cube is the blue cone,left,cube,gray,cone,blue,000152.png
To the left of the brown cone is the gray cube,To the left of the gray cube is the brown cone,left,cube,gray,cone,brown,000153.png
To the left of the cyan cone is the gray cube,To the left of the gray cube is the cyan cone,left,cube,gray,cone,cyan,000154.png
To the left of the gray cone is the gray cube,To the left of the gray cube is the gray cone,left,cube,gray,cone,gray,000155.png
To the left of the green cone is the gray cube,To the left of the gray cube is the green cone,left,cube,gray,cone,green,000156.png
To the left of the purple cone is the gray cube,To the left of the gray cube is the purple cone,left,cube,gray,cone,purple,000157.png
To the left of the red cone is the gray cube,To the left of the gray cube is the red cone,left,cube,gray,cone,red,000158.png
To the left of the yellow cone is the gray cube,To the left of the gray cube is the yellow cone,left,cube,gray,cone,yellow,000159.png
