caption_pos,caption_neg,relation,shape1,color1,shape2,color2,image
The cyan cone is behind of the yellow cone,The yellow cone is behind of the cyan cone,behind,cone,cyan,cone,yellow,001093.png
The green cone is behind of the purple cone,The purple cone is behind of the green cone,behind,cone,green,cone,purple,001098.png
The brown cone is behind of the red cone,The red cone is behind of the brown cone,behind,cone,brown,cone,red,001087.png
The cyan cone is behind of the gray cone,The gray cone is behind of the cyan cone,behind,cone,cyan,cone,gray,001089.png
The cyan cone is behind of the purple cone,The purple cone is behind of the cyan cone,behind,cone,cyan,cone,purple,001091.png
The blue cone is behind of the cyan cone,The cyan cone is behind of the blue cone,behind,cone,blue,cone,cyan,001077.png
The blue cone is behind of the purple cone,The purple cone is behind of the blue cone,behind,cone,blue,cone,purple,001080.png
The blue cone is behind of the red cone,The red cone is behind of the blue cone,behind,cone,blue,cone,red,001081.png
The blue cone is behind of the gray cone,The gray cone is behind of the blue cone,behind,cone,blue,cone,gray,001078.png
The cyan cone is behind of the red cone,The red cone is behind of the cyan cone,behind,cone,cyan,cone,red,001092.png
The green cone is behind of the red cone,The red cone is behind of the green cone,behind,cone,green,cone,red,001099.png
The blue cone is behind of the green cone,The green cone is behind of the blue cone,behind,cone,blue,cone,green,001079.png
The purple cone is behind of the yellow cone,The yellow cone is behind of the purple cone,behind,cone,purple,cone,yellow,001102.png
The green cone is behind of the yellow cone,The yellow cone is behind of the green cone,behind,cone,green,cone,yellow,001100.png
The gray cone is behind of the green cone,The green cone is behind of the gray cone,behind,cone,gray,cone,green,001094.png
The red cone is behind of the yellow cone,The yellow cone is behind of the red cone,behind,cone,red,cone,yellow,001103.png
The gray cone is behind of the red cone,The red cone is behind of the gray cone,behind,cone,gray,cone,red,001096.png
The brown cone is behind of the cyan cone,The cyan cone is behind of the brown cone,behind,cone,brown,cone,cyan,001083.png
The brown cone is behind of the purple cone,The purple cone is behind of the brown cone,behind,cone,brown,cone,purple,001086.png
The cyan cone is behind of the green cone,The green cone is behind of the cyan cone,behind,cone,cyan,cone,green,001090.png
The gray cone is behind of the purple cone,The purple cone is behind of the gray cone,behind,cone,gray,cone,purple,001095.png
The blue cone is behind of the yellow cone,The yellow cone is behind of the blue cone,behind,cone,blue,cone,yellow,001082.png
The brown cube is behind of the purple cone,The purple cone is behind of the brown cube,behind,cube,brown,cone,purple,000905.png
The green cube is behind of the cyan cone,The cyan cone is behind of the green cube,behind,cube,green,cone,cyan,000926.png
The red cube is behind of the cyan cone,The cyan cone is behind of the red cube,behind,cube,red,cone,cyan,000942.png
The blue cube is behind of the gray cone,The gray cone is behind of the blue cube,behind,cube,blue,cone,gray,000895.png
The cyan cube is behind of the brown cone,The brown cone is behind of the cyan cube,behind,cube,cyan,cone,brown,000909.png
The red cube is behind of the brown cone,The brown cone is behind of the red cube,behind,cube,red,cone,brown,000941.png
The brown cube is behind of the blue cone,The blue cone is behind of the brown cube,behind,cube,brown,cone,blue,000900.png
The blue cube is behind of the red cone,The red cone is behind of the blue cube,behind,cube,blue,cone,red,000898.png
The green cube is behind of the brown cone,The brown cone is behind of the green cube,behind,cube,green,cone,brown,000925.png
The blue cube is behind of the green cone,The green cone is behind of the blue cube,behind,cube,blue,cone,green,000896.png
The purple cube is behind of the yellow cone,The yellow cone is behind of the purple cube,behind,cube,purple,cone,yellow,000939.png
The cyan cube is behind of the gray cone,The gray cone is behind of the cyan cube,behind,cube,cyan,cone,gray,000911.png
The red cube is behind of the red cone,The red cone is behind of the red cube,behind,cube,red,cone,red,000946.png
The purple cube is behind of the brown cone,The brown cone is behind of the purple cube,behind,cube,purple,cone,brown,000933.png
The red cube is behind of the yellow cone,The yellow cone is behind of the red cube,behind,cube,red,cone,yellow,000947.png
The gray cube is behind of the yellow cone,The yellow cone is behind of the gray cube,behind,cube,gray,cone,yellow,000923.png
The gray cube is behind of the red cone,The red cone is behind of the gray cube,behind,cube,gray,cone,red,000922.png
The yellow cube is behind of the gray cone,The gray cone is behind of the yellow cube,behind,cube,yellow,cone,gray,000951.png
The yellow cube is behind of the green cone,The green cone is behind of the yellow cube,behind,cube,yellow,cone,green,000952.png
The brown cube is behind of the yellow cone,The yellow cone is behind of the brown cube,behind,cube,brown,cone,yellow,000907.png
The gray cube is behind of the gray cone,The gray cone is behind of the gray cube,behind,cube,gray,cone,gray,000919.png
The gray cube is behind of the cyan cone,The cyan cone is behind of the gray cube,behind,cube,gray,cone,cyan,000918.png
The gray cube is behind of the blue cone,The blue cone is behind of the gray cube,behind,cube,gray,cone,blue,000916.png
The purple cube is behind of the red cone,The red cone is behind of the purple cube,behind,cube,purple,cone,red,000938.png
The brown cube is behind of the gray cone,The gray cone is behind of the brown cube,behind,cube,brown,cone,gray,000903.png
The green cube is behind of the blue cone,The blue cone is behind of the green cube,behind,cube,green,cone,blue,000924.png
The yellow cube is behind of the brown cone,The brown cone is behind of the yellow cube,behind,cube,yellow,cone,brown,000949.png
The purple cube is behind of the purple cone,The purple cone is behind of the purple cube,behind,cube,purple,cone,purple,000937.png
The green cube is behind of the purple cone,The purple cone is behind of the green cube,behind,cube,green,cone,purple,000929.png
The gray cube is behind of the purple cone,The purple cone is behind of the gray cube,behind,cube,gray,cone,purple,000921.png
The purple cube is behind of the gray cone,The gray cone is behind of the purple cube,behind,cube,purple,cone,gray,000935.png
The red cube is behind of the blue cone,The blue cone is behind of the red cube,behind,cube,red,cone,blue,000940.png
The blue cube is behind of the brown cone,The brown cone is behind of the blue cube,behind,cube,blue,cone,brown,000893.png
The cyan cube is behind of the purple cone,The purple cone is behind of the cyan cube,behind,cube,cyan,cone,purple,000913.png
The blue cube is behind of the cyan cone,The cyan cone is behind of the blue cube,behind,cube,blue,cone,cyan,000894.png
The yellow cube is behind of the red cone,The red cone is behind of the yellow cube,behind,cube,yellow,cone,red,000954.png
The green cube is behind of the yellow cone,The yellow cone is behind of the green cube,behind,cube,green,cone,yellow,000931.png
The green cube is behind of the gray cone,The gray cone is behind of the green cube,behind,cube,green,cone,gray,000927.png
The cyan cube is behind of the yellow cone,The yellow cone is behind of the cyan cube,behind,cube,cyan,cone,yellow,000915.png
The red cube is behind of the purple cone,The purple cone is behind of the red cube,behind,cube,red,cone,purple,000945.png
The brown cube is behind of the cyan cone,The cyan cone is behind of the brown cube,behind,cube,brown,cone,cyan,000902.png
The cyan cube is behind of the red cone,The red cone is behind of the cyan cube,behind,cube,cyan,cone,red,000914.png
The cyan cube is behind of the cyan cone,The cyan cone is behind of the cyan cube,behind,cube,cyan,cone,cyan,000910.png
The yellow cube is behind of the yellow cone,The yellow cone is behind of the yellow cube,behind,cube,yellow,cone,yellow,000955.png
The cyan cube is behind of the green cone,The green cone is behind of the cyan cube,behind,cube,cyan,cone,green,000912.png
The blue cube is behind of the yellow cone,The yellow cone is behind of the blue cube,behind,cube,blue,cone,yellow,000899.png
The purple cube is behind of the cyan cone,The cyan cone is behind of the purple cube,behind,cube,purple,cone,cyan,000934.png
The brown cube is behind of the red cone,The red cone is behind of the brown cube,behind,cube,brown,cone,red,000906.png
The gray cube is behind of the green cone,The green cone is behind of the gray cube,behind,cube,gray,cone,green,000920.png
The red cube is behind of the gray cone,The gray cone is behind of the red cube,behind,cube,red,cone,gray,000943.png
The green cube is behind of the red cone,The red cone is behind of the green cube,behind,cube,green,cone,red,000930.png
The cyan cube is behind of the yellow cube,The yellow cube is behind of the cyan cube,behind,cube,cyan,cube,yellow,001037.png
The green cube is behind of the purple cube,The purple cube is behind of the green cube,behind,cube,green,cube,purple,001042.png
The brown cube is behind of the red cube,The red cube is behind of the brown cube,behind,cube,brown,cube,red,001031.png
The cyan cube is behind of the gray cube,The gray cube is behind of the cyan cube,behind,cube,cyan,cube,gray,001033.png
The cyan cube is behind of the purple cube,The purple cube is behind of the cyan cube,behind,cube,cyan,cube,purple,001035.png
The blue cube is behind of the cyan cube,The cyan cube is behind of the blue cube,behind,cube,blue,cube,cyan,001021.png
The blue cube is behind of the purple cube,The purple cube is behind of the blue cube,behind,cube,blue,cube,purple,001024.png
The blue cube is behind of the red cube,The red cube is behind of the blue cube,behind,cube,blue,cube,red,001025.png
The blue cube is behind of the gray cube,The gray cube is behind of the blue cube,behind,cube,blue,cube,gray,001022.png
The cyan cube is behind of the red cube,The red cube is behind of the cyan cube,behind,cube,cyan,cube,red,001036.png
The green cube is behind of the red cube,The red cube is behind of the green cube,behind,cube,green,cube,red,001043.png
The blue cube is behind of the green cube,The green cube is behind of the blue cube,behind,cube,blue,cube,green,001023.png
The purple cube is behind of the yellow cube,The yellow cube is behind of the purple cube,behind,cube,purple,cube,yellow,001046.png
The green cube is behind of the yellow cube,The yellow cube is behind of the green cube,behind,cube,green,cube,yellow,001044.png
The gray cube is behind of the green cube,The green cube is behind of the gray cube,behind,cube,gray,cube,green,001038.png
The red cube is behind of the yellow cube,The yellow cube is behind of the red cube,behind,cube,red,cube,yellow,001047.png
The gray cube is behind of the red cube,The red cube is behind of the gray cube,behind,cube,gray,cube,red,001040.png
The brown cube is behind of the cyan cube,The cyan cube is behind of the brown cube,behind,cube,brown,cube,cyan,001027.png
The brown cube is behind of the purple cube,The purple cube is behind of the brown cube,behind,cube,brown,cube,purple,001030.png
The cyan cube is behind of the green cube,The green cube is behind of the cyan cube,behind,cube,cyan,cube,green,001034.png
The gray cube is behind of the purple cube,The purple cube is behind of the gray cube,behind,cube,gray,cube,purple,001039.png
The blue cube is behind of the yellow cube,The yellow cube is behind of the blue cube,behind,cube,blue,cube,yellow,001026.png
The brown cube is behind of the purple sphere,The purple sphere is behind of the brown cube,behind,cube,brown,sphere,purple,000841.png
The green cube is behind of the cyan sphere,The cyan sphere is behind of the green cube,behind,cube,green,sphere,cyan,000862.png
The red cube is behind of the cyan sphere,The cyan sphere is behind of the red cube,behind,cube,red,sphere,cyan,000878.png
The blue cube is behind of the gray sphere,The gray sphere is behind of the blue cube,behind,cube,blue,sphere,gray,000831.png
The cyan cube is behind of the brown sphere,The brown sphere is behind of the cyan cube,behind,cube,cyan,sphere,brown,000845.png
The red cube is behind of the brown sphere,The brown sphere is behind of the red cube,behind,cube,red,sphere,brown,000877.png
The brown cube is behind of the blue sphere,The blue sphere is behind of the brown cube,behind,cube,brown,sphere,blue,000836.png
The blue cube is behind of the red sphere,The red sphere is behind of the blue cube,behind,cube,blue,sphere,red,000834.png
The green cube is behind of the brown sphere,The brown sphere is behind of the green cube,behind,cube,green,sphere,brown,000861.png
The blue cube is behind of the green sphere,The green sphere is behind of the blue cube,behind,cube,blue,sphere,green,000832.png
The purple cube is behind of the yellow sphere,The yellow sphere is behind of the purple cube,behind,cube,purple,sphere,yellow,000875.png
The cyan cube is behind of the gray sphere,The gray sphere is behind of the cyan cube,behind,cube,cyan,sphere,gray,000847.png
The red cube is behind of the red sphere,The red sphere is behind of the red cube,behind,cube,red,sphere,red,000882.png
The purple cube is behind of the brown sphere,The brown sphere is behind of the purple cube,behind,cube,purple,sphere,brown,000869.png
The red cube is behind of the yellow sphere,The yellow sphere is behind of the red cube,behind,cube,red,sphere,yellow,000883.png
The gray cube is behind of the yellow sphere,The yellow sphere is behind of the gray cube,behind,cube,gray,sphere,yellow,000859.png
The gray cube is behind of the red sphere,The red sphere is behind of the gray cube,behind,cube,gray,sphere,red,000858.png
The yellow cube is behind of the gray sphere,The gray sphere is behind of the yellow cube,behind,cube,yellow,sphere,gray,000887.png
The yellow cube is behind of the green sphere,The green sphere is behind of the yellow cube,behind,cube,yellow,sphere,green,000888.png
