caption_pos,caption_neg,relation,shape1,color1,shape2,color2,image
The blue cube is to the left of the blue cylinder,The blue cylinder is to the left of the blue cube,left,cube,blue,cylinder,blue,000000.png
To the left of the blue cylinder is the blue cube,To the left of the blue cube is the blue cylinder,left,cube,blue,cylinder,blue,000001.png
There is a blue cube to the left of a blue cylinder,There is a blue cylinder to the left of a blue cube,left,cube,blue,cylinder,blue,000002.png
The blue cube is to the left of the brown cylinder,The brown cylinder is to the left of the blue cube,left,cube,blue,cylinder,brown,000003.png
To the left of the brown cylinder is the blue cube,To the left of the blue cube is the brown cylinder,left,cube,blue,cylinder,brown,000004.png
There is a blue cube to the left of a brown cylinder,There is a brown cylinder to the left of a blue cube,left,cube,blue,cylinder,brown,000005.png
The blue cube is to the left of the cyan cylinder,The cyan cylinder is to the left of the blue cube,left,cube,blue,cylinder,cyan,000006.png
To the left of the cyan cylinder is the blue cube,To the left of the blue cube is the cyan cylinder,left,cube,blue,cylinder,cyan,000007.png
There is a blue cube to the left of a cyan cylinder,There is a cyan cylinder to the left of a blue cube,left,cube,blue,cylinder,cyan,000008.png
The blue cube is to the left of the gray cylinder,The gray cylinder is to the left of the blue cube,left,cube,blue,cylinder,gray,000009.png
To the left of the gray cylinder is the blue cube,To the left of the blue cube is the gray cylinder,left,cube,blue,cylinder,gray,000010.png
There is a blue cube to the left of a gray cylinder,There is a gray cylinder to the left of a blue cube,left,cube,blue,cylinder,gray,000011.png
The blue cube is to the left of the green cylinder,The green cylinder is to the left of the blue cube,left,cube,blue,cylinder,green,000012.png
To the left of the green cylinder is the blue cube,To the left of the blue cube is the green cylinder,left,cube,blue,cylinder,green,000013.png
There is a blue cube to the left of a green cylinder,There is a green cylinder to the left of a blue cube,left,cube,blue,cylinder,green,000014.png
The blue cube is to the left of the purple cylinder,The purple cylinder is to the left of the blue cube,left,cube,blue,cylinder,purple,000015.png
To the left of the purple cylinder is the blue cube,To the left of the blue cube is the purple cylinder,left,cube,blue,cylinder,purple,000016.png
There is a blue cube to the left of a purple cylinder,There is a purple cylinder to the left of a blue cube,left,cube,blue,cylinder,purple,000017.png
The blue cube is to the left of the red cylinder,The red cylinder is to the left of the blue cube,left,cube,blue,cylinder,red,000018.png
To the left of the red cylinder is the blue cube,To the left of the blue cube is the red cylinder,left,cube,blue,cylinder,red,000019.png
There is a blue cube to the left of a red cylinder,There is a red cylinder to the left of a blue cube,left,cube,blue,cylinder,red,000020.png
The blue cube is to the left of the yellow cylinder,The yellow cylinder is to the left of the blue cube,left,cube,blue,cylinder,yellow,000021.png
To the left of the yellow cylinder is the blue cube,To the left of the blue cube is the yellow cylinder,left,cube,blue,cylinder,yellow,000022.png
There is a blue cube to the left of a yellow cylinder,There is a yellow cylinder to the left of a blue cube,left,cube,blue,cylinder,yellow,000023.png
The brown cube is to the left of the blue cylinder,The blue cylinder is to the left of the brown cube,left,cube,brown,cylinder,blue,000024.png
To the left of the blue cylinder is the brown cube,To the left of the brown cube is the blue cylinder,left,cube,brown,cylinder,blue,000025.png
There is a brown cube to the left of a blue cylinder,There is a blue cylinder to the left of a brown cube,left,cube,brown,cylinder,blue,000026.png
The brown cube is to the left of the brown cylinder,The brown cylinder is to the left of the brown cube,left,cube,brown,cylinder,brown,000027.png
To the left of the brown cylinder is the brown cube,To the left of the brown cube is the brown cylinder,left,cube,brown,cylinder,brown,000028.png
There is a brown cube to the left of a brown cylinder,There is a brown cylinder to the left of a brown cube,left,cube,brown,cylinder,brown,000029.png
The brown cube is to the left of the cyan cylinder,The cyan cylinder is to the left of the brown cube,left,cube,brown,cylinder,cyan,000030.png
To the left of the cyan cylinder is the brown cube,To the left of the brown cube is the cyan cylinder,left,cube,brown,cylinder,cyan,000031.png
There is a brown cube to the left of a cyan cylinder,There is a cyan cylinder to the left of a brown cube,left,cube,brown,cylinder,cyan,000032.png
The brown cube is to the left of the gray cylinder,The gray cylinder is to the left of the brown cube,left,cube,brown,cylinder,gray,000033.png
To the left of the gray cylinder is the brown cube,To the left of the brown cube is the gray cylinder,left,cube,brown,cylinder,gray,000034.png
There is a brown cube to the left of a gray cylinder,There is a gray cylinder to the left of a brown cube,left,cube,brown,cylinder,gray,000035.png
The brown cube is to the left of the green cylinder,The green cylinder is to the left of the brown cube,left,cube,brown,cylinder,green,000036.png
To the left of the green cylinder is the brown cube,To the left of the brown cube is the green cylinder,left,cube,brown,cylinder,green,000037.png
There is a brown cube to the left of a green cylinder,There is a green cylinder to the left of a brown cube,left,cube,brown,cylinder,green,000038.png
The brown cube is to the left of the purple cylinder,The purple cylinder is to the left of the brown cube,left,cube,brown,cylinder,purple,000039.png
To the left of the purple cylinder is the brown cube,To the left of the brown cube is the purple cylinder,left,cube,brown,cylinder,purple,000040.png
There is a brown cube to the left of a purple cylinder,There is a purple cylinder to the left of a brown cube,left,cube,brown,cylinder,purple,000041.png
The brown cube is to the left of the red cylinder,The red cylinder is to the left of the brown cube,left,cube,brown,cylinder,red,000042.png
To the left of the red cylinder is the brown cube,To the left of the brown cube is the red cylinder,left,cube,brown,cylinder,red,000043.png
There is a brown cube to the left of a red cylinder,There is a red cylinder to the left of a brown cube,left,cube,brown,cylinder,red,000044.png
The brown cube is to the left of the yellow cylinder,The yellow cylinder is to the left of the brown cube,left,cube,brown,cylinder,yellow,000045.png
To the left of the yellow cylinder is the brown cube,To the left of the brown cube is the yellow cylinder,left,cube,brown,cylinder,yellow,000046.png
There is a brown cube to the left of a yellow cylinder,There is a yellow cylinder to the left of a brown cube,left,cube,brown,cylinder,yellow,000047.png
The cyan cube is to the left of the blue cylinder,The blue cylinder is to the left of the cyan cube,left,cube,cyan,cylinder,blue,000048.png
To the left of the blue cylinder is the cyan cube,To the left of the cyan cube is the blue cylinder,left,cube,cyan,cylinder,blue,000049.png
There is a cyan cube to the left of a blue cylinder,There is a blue cylinder to the left of a cyan cube,left,cube,cyan,cylinder,blue,000050.png
The cyan cube is to the left of the brown cylinder,The brown cylinder is to the left of the cyan cube,left,cube,cyan,cylinder,brown,000051.png
To the left of the brown cylinder is the cyan cube,To the left of the cyan cube is the brown cylinder,left,cube,cyan,cylinder,brown,000052.png
There is a cyan cube to the left of a brown cylinder,There is a brown cylinder to the left of a cyan cube,left,cube,cyan,cylinder,brown,000053.png
The cyan cube is to the left of the cyan cylinder,The cyan cylinder is to the left of the cyan cube,left,cube,cyan,cylinder,cyan,000054.png
To the left of the cyan cylinder is the cyan cube,To the left of the cyan cube is the cyan cylinder,left,cube,cyan,cylinder,cyan,000055.png
There is a cyan cube to the left of a cyan cylinder,There is a cyan cylinder to the left of a cyan cube,left,cube,cyan,cylinder,cyan,000056.png
The cyan cube is to the left of the gray cylinder,The gray cylinder is to the left of the cyan cube,left,cube,cyan,cylinder,gray,000057.png
To the left of the gray cylinder is the cyan cube,To the left of the cyan cube is the gray cylinder,left,cube,cyan,cylinder,gray,000058.png
There is a cyan cube to the left of a gray cylinder,There is a gray cylinder to the left of a cyan cube,left,cube,cyan,cylinder,gray,000059.png
The cyan cube is to the left of the green cylinder,The green cylinder is to the left of the cyan cube,left,cube,cyan,cylinder,green,000060.png
To the left of the green cylinder is the cyan cube,To the left of the cyan cube is the green cylinder,left,cube,cyan,cylinder,green,000061.png
There is a cyan cube to the left of a green cylinder,There is a green cylinder to the left of a cyan cube,left,cube,cyan,cylinder,green,000062.png
The cyan cube is to the left of the purple cylinder,The purple cylinder is to the left of the cyan cube,left,cube,cyan,cylinder,purple,000063.png
To the left of the purple cylinder is the cyan cube,To the left of the cyan cube is the purple cylinder,left,cube,cyan,cylinder,purple,000064.png
There is a cyan cube to the left of a purple cylinder,There is a purple cylinder to the left of a cyan cube,left,cube,cyan,cylinder,purple,000065.png
The cyan cube is to the left of the red cylinder,The red cylinder is to the left of the cyan cube,left,cube,cyan,cylinder,red,000066.png
To the left of the red cylinder is the cyan cube,To the left of the cyan cube is the red cylinder,left,cube,cyan,cylinder,red,000067.png
There is a cyan cube to the left of a red cylinder,There is a red cylinder to the left of a cyan cube,left,cube,cyan,cylinder,red,000068.png
The cyan cube is to the left of the yellow cylinder,The yellow cylinder is to the left of the cyan cube,left,cube,cyan,cylinder,yellow,000069.png
To the left of the yellow cylinder is the cyan cube,To the left of the cyan cube is the yellow cylinder,left,cube,cyan,cylinder,yellow,000070.png
There is a cyan cube to the left of a yellow cylinder,There is a yellow cylinder to the left of a cyan cube,left,cube,cyan,cylinder,yellow,000071.png
The gray cube is to the left of the blue cylinder,The blue cylinder is to the left of the gray cube,left,cube,gray,cylinder,blue,000072.png
To the left of the blue cylinder is the gray cube,To the left of the gray cube is the blue cylinder,left,cube,gray,cylinder,blue,000073.png
There is a gray cube to the left of a blue cylinder,There is a blue cylinder to the left of a gray cube,left,cube,gray,cylinder,blue,000074.png
The gray cube is to the left of the brown cylinder,The brown cylinder is to the left of the gray cube,left,cube,gray,cylinder,brown,000075.png
To the left of the brown cylinder is the gray cube,To the left of the gray cube is the brown cylinder,left,cube,gray,cylinder,brown,000076.png
There is a gray cube to the left of a brown cylinder,There is a brown cylinder to the left of a gray cube,left,cube,gray,cylinder,brown,000077.png
The gray cube is to the left of the cyan cylinder,The cyan cylinder is to the left of the gray cube,left,cube,gray,cylinder,cyan,000078.png
To the left of the cyan cylinder is the gray cube,To the left of the gray cube is the cyan cylinder,left,cube,gray,cylinder,cyan,000079.png
There is a gray cube to the left of a cyan cylinder,There is a cyan cylinder to the left of a gray cube,left,cube,gray,cylinder,cyan,000080.png
The gray cube is to the left of the gray cylinder,The gray cylinder is to the left of the gray cube,left,cube,gray,cylinder,gray,000081.png
To the left of the gray cylinder is the gray cube,To the left of the gray cube is the gray cylinder,left,cube,gray,cylinder,gray,000082.png
There is a gray cube to the left of a gray cylinder,There is a gray cylinder to the left of a gray cube,left,cube,gray,cylinder,gray,000083.png
The gray cube is to the left of the green cylinder,The green cylinder is to the left of the gray cube,left,cube,gray,cylinder,green,000084.png
To the left of the green cylinder is the gray cube,To the left of the gray cube is the green cylinder,left,cube,gray,cylinder,green,000085.png
There is a gray cube to the left of a green cylinder,There is a green cylinder to the left of a gray cube,left,cube,gray,cylinder,green,000086.png
The gray cube is to the left of the purple cylinder,The purple cylinder is to the left of the gray cube,left,cube,gray,cylinder,purple,000087.png
To the left of the purple cylinder is the gray cube,To the left of the gray cube is the purple cylinder,left,cube,gray,cylinder,purple,000088.png
There is a gray cube to the left of a purple cylinder,There is a purple cylinder to the left of a gray cube,left,cube,gray,cylinder,purple,000089.png
The gray cube is to the left of the red cylinder,The red cylinder is to the left of the gray cube,left,cube,gray,cylinder,red,000090.png
To the left of the red cylinder is the gray cube,To the left of the gray cube is the red cylinder,left,cube,gray,cylinder,red,000091.png
There is a gray cube to the left of a red cylinder,There is a red cylinder to the left of a gray cube,left,cube,gray,cylinder,red,000092.png
The gray cube is to the left of the yellow cylinder,The yellow cylinder is to the left of the gray cube,left,cube,gray,cylinder,yellow,000093.png
To the left of the yellow cylinder is the gray cube,To the left of the gray cube is the yellow cylinder,left,cube,gray,cylinder,yellow,000094.png
There is a gray cube to the left of a yellow cylinder,There is a yellow cylinder to the left of a gray cube,left,cube,gray,cylinder,yellow,000095.png
The green cube is to the left of the blue cylinder,The blue cylinder is to the left of the green cube,left,cube,green,cylinder,blue,000096.png
To the left of the blue cylinder is the green cube,To the left of the green cube is the blue cylinder,left,cube,green,cylinder,blue,000097.png
There is a green cube to the left of a blue cylinder,There is a blue cylinder to the left of a green cube,left,cube,green,cylinder,blue,000098.png
The green cube is to the left of the brown cylinder,The brown cylinder is to the left of the green cube,left,cube,green,cylinder,brown,000099.png
To the left of the brown cylinder is the green cube,To the left of the green cube is the brown cylinder,left,cube,green,cylinder,brown,000100.png
There is a green cube to the left of a brown cylinder,There is a brown cylinder to the left of a green cube,left,cube,green,cylinder,brown,000101.png
The green cube is to the left of the cyan cylinder,The cyan cylinder is to the left of the green cube,left,cube,green,cylinder,cyan,000102.png
To the left of the cyan cylinder is the green cube,To the left of the green cube is the cyan cylinder,left,cube,green,cylinder,cyan,000103.png
There is a green cube to the left of a cyan cylinder,There is a cyan cylinder to the left of a green cube,left,cube,green,cylinder,cyan,000104.png
The green cube is to the left of the gray cylinder,The gray cylinder is to the left of the green cube,left,cube,green,cylinder,gray,000105.png
To the left of the gray cylinder is the green cube,To the left of the green cube is the gray cylinder,left,cube,green,cylinder,gray,000106.png
There is a green cube to the left of a gray cylinder,There is a gray cylinder to the left of a green cube,left,cube,green,cylinder,gray,000107.png
The green cube is to the left of the green cylinder,The green cylinder is to the left of the green cube,left,cube,green,cylinder,green,000108.png
To the left of the green cylinder is the green cube,To the left of the green cube is the green cylinder,left,cube,green,cylinder,green,000109.png
There is a green cube to the left of a green cylinder,There is a green cylinder to the left of a green cube,left,cube,green,cylinder,green,000110.png
The green cube is to the left of the purple cylinder,The purple cylinder is to the left of the green cube,left,cube,green,cylinder,purple,000111.png
To the left of the purple cylinder is the green cube,To the left of the green cube is the purple cylinder,left,cube,green,cylinder,purple,000112.png
There is a green cube to the left of a purple cylinder,There is a purple cylinder to the left of a green cube,left,cube,green,cylinder,purple,000113.png
The green cube is to the left of the red cylinder,The red cylinder is to the left of the green cube,left,cube,green,cylinder,red,000114.png
To the left of the red cylinder is the green cube,To the left of the green cube is the red cylinder,left,cube,green,cylinder,red,000115.png
There is a green cube to the left of a red cylinder,There is a red cylinder to the left of a green cube,left,cube,green,cylinder,red,000116.png
The green cube is to the left of the yellow cylinder,The yellow cylinder is to the left of the green cube,left,cube,green,cylinder,yellow,000117.png
To the left of the yellow cylinder is the green cube,To the left of the green cube is the yellow cylinder,left,cube,green,cylinder,yellow,000118.png
There is a green cube to the left of a yellow cylinder,There is a yellow cylinder to the left of a green cube,left,cube,green,cylinder,yellow,000119.png
The purple cube is to the left of the blue cylinder,The blue cylinder is to the left of the purple cube,left,cube,purple,cylinder,blue,000120.png
To the left of the blue cylinder is the purple cube,To the left of the purple cube is the blue cylinder,left,cube,purple,cylinder,blue,000121.png
There is a purple cube to the left of a blue cylinder,There is a blue cylinder to the left of a purple cube,left,cube,purple,cylinder,blue,000122.png
The purple cube is to the left of the brown cylinder,The brown cylinder is to the left of the purple cube,left,cube,purple,cylinder,brown,000123.png
To the left of the brown cylinder is the purple cube,To the left of the purple cube is the brown cylinder,left,cube,purple,cylinder,brown,000124.png
There is a purple cube to the left of a brown cylinder,There is a brown cylinder to the left of a purple cube,left,cube,purple,cylinder,brown,000125.png
The purple cube is to the left of the cyan cylinder,The cyan cylinder is to the left of the purple cube,left,cube,purple,cylinder,cyan,000126.png
To the left of the cyan cylinder is the purple cube,To the left of the purple cube is the cyan cylinder,left,cube,purple,cylinder,cyan,000127.png
There is a purple cube to the left of a cyan cylinder,There is a cyan cylinder to the left of a purple cube,left,cube,purple,cylinder,cyan,000128.png
The purple cube is to the left of the gray cylinder,The gray cylinder is to the left of the purple cube,left,cube,purple,cylinder,gray,000129.png
To the left of the gray cylinder is the purple cube,To the left of the purple cube is the gray cylinder,left,cube,purple,cylinder,gray,000130.png
There is a purple cube to the left of a gray cylinder,There is a gray cylinder to the left of a purple cube,left,cube,purple,cylinder,gray,000131.png
The purple cube is to the left of the green cylinder,The green cylinder is to the left of the purple cube,left,cube,purple,cylinder,green,000132.png
To the left of the green cylinder is the purple cube,To the left of the purple cube is the green cylinder,left,cube,purple,cylinder,green,000133.png
There is a purple cube to the left of a green cylinder,There is a green cylinder to the left of a purple cube,left,cube,purple,cylinder,green,000134.png
The purple cube is to the left of the purple cylinder,The purple cylinder is to the left of the purple cube,left,cube,purple,cylinder,purple,000135.png
To the left of the purple cylinder is the purple cube,To the left of the purple cube is the purple cylinder,left,cube,purple,cylinder,purple,000136.png
There is a purple cube to the left of a purple cylinder,There is a purple cylinder to the left of a purple cube,left,cube,purple,cylinder,purple,000137.png
The purple cube is to the left of the red cylinder,The red cylinder is to the left of the purple cube,left,cube,purple,cylinder,red,000138.png
To the left of the red cylinder is the purple cube,To the left of the purple cube is the red cylinder,left,cube,purple,cylinder,red,000139.png
There is a purple cube to the left of a red cylinder,There is a red cylinder to the left of a purple cube,left,cube,purple,cylinder,red,000140.png
The purple cube is to the left of the yellow cylinder,The yellow cylinder is to the left of the purple cube,left,cube,purple,cylinder,yellow,000141.png
To the left of the yellow cylinder is the purple cube,To the left of the purple cube is the yellow cylinder,left,cube,purple,cylinder,yellow,000142.png
There is a purple cube to the left of a yellow cylinder,There is a yellow cylinder to the left of a purple cube,left,cube,purple,cylinder,yellow,000143.png
The red cube is to the left of the blue cylinder,The blue cylinder is to the left of the red cube,left,cube,red,cylinder,blue,000144.png
To the left of the blue cylinder is the red cube,To the left of the red cube is the blue cylinder,left,cube,red,cylinder,blue,000145.png
