caption_pos,caption_neg,relation,shape1,color1,shape2,color2,image
The blue cone is behind the brown cone,The brown cone is behind the blue cone,behind,cone,blue,cone,brown,003229.png
The blue cone is behind the brown cone,The brown cone is behind the blue cone,behind,cone,blue,cone,brown,003230.png
The blue cone is behind the cyan cone,The cyan cone is behind the blue cone,behind,cone,blue,cone,cyan,003231.png
The blue cone is behind the cyan cone,The cyan cone is behind the blue cone,behind,cone,blue,cone,cyan,003232.png
The blue cone is behind the gray cone,The gray cone is behind the blue cone,behind,cone,blue,cone,gray,003234.png
The blue cone is behind the gray cone,The gray cone is behind the blue cone,behind,cone,blue,cone,gray,003236.png
The blue cone is behind the green cone,The green cone is behind the blue cone,behind,cone,blue,cone,green,003237.png
The blue cone is behind the green cone,The green cone is behind the blue cone,behind,cone,blue,cone,green,003239.png
The blue cone is behind the purple cone,The purple cone is behind the blue cone,behind,cone,blue,cone,purple,003240.png
The blue cone is behind the purple cone,The purple cone is behind the blue cone,behind,cone,blue,cone,purple,003242.png
The blue cone is behind the red cone,The red cone is behind the blue cone,behind,cone,blue,cone,red,003243.png
The blue cone is behind the red cone,The red cone is behind the blue cone,behind,cone,blue,cone,red,003244.png
The blue cone is behind the yellow cone,The yellow cone is behind the blue cone,behind,cone,blue,cone,yellow,003247.png
The blue cone is behind the yellow cone,The yellow cone is behind the blue cone,behind,cone,blue,cone,yellow,003248.png
The brown cone is behind the cyan cone,The cyan cone is behind the brown cone,behind,cone,brown,cone,cyan,003249.png
The brown cone is behind the cyan cone,The cyan cone is behind the brown cone,behind,cone,brown,cone,cyan,003250.png
The brown cone is behind the gray cone,The gray cone is behind the brown cone,behind,cone,brown,cone,gray,003253.png
The brown cone is behind the gray cone,The gray cone is behind the brown cone,behind,cone,brown,cone,gray,003254.png
The brown cone is behind the green cone,The green cone is behind the brown cone,behind,cone,brown,cone,green,003256.png
The brown cone is behind the green cone,The green cone is behind the brown cone,behind,cone,brown,cone,green,003257.png
The brown cone is behind the purple cone,The purple cone is behind the brown cone,behind,cone,brown,cone,purple,003258.png
The brown cone is behind the purple cone,The purple cone is behind the brown cone,behind,cone,brown,cone,purple,003260.png
The brown cone is behind the red cone,The red cone is behind the brown cone,behind,cone,brown,cone,red,003261.png
The brown cone is behind the red cone,The red cone is behind the brown cone,behind,cone,brown,cone,red,003262.png
The brown cone is behind the yellow cone,The yellow cone is behind the brown cone,behind,cone,brown,cone,yellow,003264.png
The brown cone is behind the yellow cone,The yellow cone is behind the brown cone,behind,cone,brown,cone,yellow,003265.png
The cyan cone is behind the gray cone,The gray cone is behind the cyan cone,behind,cone,cyan,cone,gray,003267.png
The cyan cone is behind the gray cone,The gray cone is behind the cyan cone,behind,cone,cyan,cone,gray,003268.png
The cyan cone is behind the green cone,The green cone is behind the cyan cone,behind,cone,cyan,cone,green,003270.png
The cyan cone is behind the green cone,The green cone is behind the cyan cone,behind,cone,cyan,cone,green,003271.png
The cyan cone is behind the purple cone,The purple cone is behind the cyan cone,behind,cone,cyan,cone,purple,003273.png
The cyan cone is behind the purple cone,The purple cone is behind the cyan cone,behind,cone,cyan,cone,purple,003274.png
The cyan cone is behind the red cone,The red cone is behind the cyan cone,behind,cone,cyan,cone,red,003276.png
The cyan cone is behind the red cone,The red cone is behind the cyan cone,behind,cone,cyan,cone,red,003278.png
The cyan cone is behind the yellow cone,The yellow cone is behind the cyan cone,behind,cone,cyan,cone,yellow,003280.png
The cyan cone is behind the yellow cone,The yellow cone is behind the cyan cone,behind,cone,cyan,cone,yellow,003281.png
The gray cone is behind the green cone,The green cone is behind the gray cone,behind,cone,gray,cone,green,003282.png
The gray cone is behind the green cone,The green cone is behind the gray cone,behind,cone,gray,cone,green,003283.png
The gray cone is behind the purple cone,The purple cone is behind the gray cone,behind,cone,gray,cone,purple,003285.png
The gray cone is behind the purple cone,The purple cone is behind the gray cone,behind,cone,gray,cone,purple,003287.png
The gray cone is behind the red cone,The red cone is behind the gray cone,behind,cone,gray,cone,red,003288.png
The gray cone is behind the red cone,The red cone is behind the gray cone,behind,cone,gray,cone,red,003290.png
The gray cone is behind the yellow cone,The yellow cone is behind the gray cone,behind,cone,gray,cone,yellow,003291.png
